8/21/2020,PV-20-1955,Public Nuisance,Public Nuisance,"914 PROCTOR DR, HIGH POINT NC 27260",914 PROCTOR DR,914,PROCTOR,DR,Closed - No Violation,Public Nuisance
8/21/2020,PV-20-1956,Public Nuisance,Public Nuisance,"324 PLAYER DR, HIGH POINT NC 27260",324 PLAYER DR,324,PLAYER,DR,Closed - Owner Corrected,Public Nuisance
8/21/2020,PV-20-1957,Public Nuisance,Public Nuisance,"1905 WICKHAM AV, HIGH POINT NC 27265",1905 WICKHAM AV,1905,WICKHAM,AV,Closed - Owner Corrected,Public Nuisance
8/24/2020,DV-20-0285,Zoning,Zoning,"2959 SHADY VIEW DR, HIGH POINT NC 27265",2959 SHADY VIEW DR,2959,SHADY VIEW,DR,Closed - No Violation,Zoning
8/24/2020,DV-20-0286,Zoning,Zoning,"1101 EASTCHESTER DR, HIGH POINT NC 27265",1101 EASTCHESTER DR,1101,EASTCHESTER,DR,Closed - In Compliance,Zoning
8/24/2020,DV-20-0287,Zoning,zONING,"2640 WILLARD DAIRY RD, HIGH POINT NC 27265",2640 WILLARD DAIRY RD,2640,WILLA DAIRY,RD,Closed - No Violation,zONING
8/24/2020,PV-20-1958,Public Nuisance,Public Nuisance,"5234 SWITCHBACK DR, HIGH POINT NC 27265",5234 SWITCHBACK DR,5234,SWITCHBACK,DR,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1959,Public Nuisance,Public Nuisance,"206 WILLIS AV, HIGH POINT NC 27260",206 WILLIS AV,206,WILLIS,AV,Closed - Lien Filed,Public Nuisance
8/24/2020,PV-20-1960,Public Nuisance,Public Nuisance,"300 OAK ST, HIGH POINT NC 27260",300 OAK ST,300,OAK,ST,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1961,Public Nuisance,Public Nuisance,"2210 RIDGECREST DR, HIGH POINT NC 27262",2210 RIDGECREST DR,2210,RIDGECREST,DR,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1962,Public Nuisance,Public Nuisance,"2201 MAIN ST, HIGH POINT NC 27263",2201 MAIN ST,2201,MAIN,ST,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1963,Public Nuisance,Public Nuisance,"412 RIDGECREST DR, HIGH POINT NC 27262",412 RIDGECREST DR,412,RIDGECREST,DR,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1964,Public Nuisance,Public Nuisance,"2104 MAIN ST, HIGH POINT NC 27263",2104 MAIN ST,2104,MAIN,ST,Closed - No Violation,Public Nuisance
8/24/2020,PV-20-1965,Public Nuisance,Public Nuisance,"2914 ENGLISH RD, HIGH POINT NC 27262",2914 ENGLISH RD,2914,ENGLISH,RD,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1966,Public Nuisance,Public Nuisance,"2114 MAIN ST, HIGH POINT NC 27263",2114 MAIN ST,2114,MAIN,ST,Closed - No Violation,Public Nuisance
8/24/2020,PV-20-1967,Public Nuisance,Public Nuisance,"1930 GREENSTONE PL, HIGH POINT NC 27265",1930 GREENSTONE PL,1930,GREENSTONE,PL,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1968,Public Nuisance,Public Nuisance,"2100 MAIN ST, HIGH POINT NC 27263",2100 MAIN ST,2100,MAIN,ST,Closed - Invalid Case,Public Nuisance
8/24/2020,PV-20-1969,Public Nuisance,Public Nuisance - Securing,"2100 MAIN ST, HIGH POINT NC 27263",2100 MAIN ST,2100,MAIN,ST,Closed - Invalid Case,Public Nuisance - Securing
8/24/2020,PV-20-1970,Public Nuisance,Public Nuisance,"1113 ASHEBORO ST, HIGH POINT NC 27260",1113 ASHEBORO ST,1113,ASHEBORO,ST,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1971,Public Nuisance,Public Nuisance,"1106 WAYSIDE ST, HIGH POINT NC 27260",1106 WAYSIDE ST,1106,WAYSIDE,ST,Closed - Lien Filed,Public Nuisance
