ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
706 CONWAY ST,11/27/2012 12:00:00 AM,Duplex,2,7,4,34400,"(44.95482796, -93.06825796)"
1020 CARROLL AVE,03/12/2008 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.95012389, -93.14321129)"
255 UNIVERSITY AVE W,03/05/2018 12:00:00 AM,Commercial,1,1,7,32700,"(44.95594823, -93.11096351)"
46 FRONT AVE,07/19/2018 12:00:00 AM,Duplex,2,1,6,31400,"(44.97015027, -93.10206885)"
1019 CUMBERLAND ST,02/09/2021 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97212266, -93.11766343)"
871 STICKNEY ST,12/07/2016 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.91970825, -93.0633428)"
953 SHERBURNE AVE,08/17/2018 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95677167, -93.14037982)"
543 MICHIGAN ST,07/05/2019 12:00:00 AM,Duplex,1,2,9,36900,"(44.93512447, -93.12281567)"
1515 MARSHALL AVE,05/07/2020 12:00:00 AM,Single Family Residential,2,1,13,33400,"(44.94865512, -93.16424326)"
100 10TH ST E,03/23/2020 12:00:00 AM,Commercial,1,2,17,34202,"(44.95088376, -93.09532692)"
1113 COMO PLACE,06/02/2020 12:00:00 AM,Duplex,2,5,10,30300,"(44.97473589, -93.1351758)"
476 STINSON ST,09/25/2019 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.96912132, -93.12027649)"
521 YORK AVE,08/01/2019 12:00:00 AM,Single Family Residential,3,5,5,31500,"(44.96850107, -93.07838665)"
847 HUDSON ROAD,08/10/1999 12:00:00 AM,Commercial,3,7,4,34400,"(44.95238319, -93.06481546)"
603 EDMUND AVE,10/29/2019 12:00:00 AM,Duplex,2,1,7,32600,"(44.95854683, -93.12554999)"
1038 MACKUBIN ST,04/22/2020 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97253338, -93.12094623)"
736 OAKDALE AVE,07/10/2019 12:00:00 AM,Commercial,1,2,3,37200,"(44.92386511, -93.07758793)"
1722 REANEY AVE,06/27/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96371826, -93.02755833)"
811 4TH ST E,10/30/2006 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95822343, -93.06589658)"
1303 EDMUND AVE,09/03/2020 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.95859821, -93.15524067)"
365 MICHIGAN ST,07/12/1995 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.93495123, -93.1152883)"
1503 VAN BUREN AVE,12/13/2018 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.9621339, -93.16409394)"
1811 MONTANA AVE E,07/25/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.98759289, -93.02373283)"
1350 LAUREL AVE,08/08/2018 12:00:00 AM,Single Family Residential,1,1,13,35200,"(44.94481508, -93.15738956)"
1247 5TH ST E,01/25/2021 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.95963597, -93.04774029)"
146 WATER ST W,12/18/2018 12:00:00 AM,Mixed Use,2,2,3,37100,"(44.93734679, -93.09323696)"
1047 WAKEFIELD AVE,08/28/2020 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95337128, -93.05623879)"
1758 BLAIR AVE,01/11/2021 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96091357, -93.17446459)"
1033 GALTIER ST,09/10/2015 12:00:00 AM,Duplex,3,5,6,30800,"(44.9725273, -93.11130473)"
831 SMITH AVE S,08/05/2016 12:00:00 AM,Single Family Residential,2,2,3,37000,"(44.92105008, -93.10201471)"
224 GROTTO ST N,05/17/2011 12:00:00 AM,Single Family Residential,2,1,8,33900,"(44.9480278, -93.13124017)"
935 IGLEHART AVE FL MAIN L,03/23/2017 12:00:00 AM,Single Family Residential,2,1,8,33800,"(44.94957358, -93.13968929)"
654 WINSLOW AVE,03/04/2020 12:00:00 AM,Single Family Residential,2,2,3,37100,"(44.92615303, -93.08936135)"
422 JESSAMINE AVE E,09/28/2017 12:00:00 AM,Duplex,2,5,5,30900,"(44.97447497, -93.08291526)"
164 BAKER ST W,02/19/2021 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.92643809, -93.09234349)"
1545 7TH ST W,04/21/2020 12:00:00 AM,Commercial,2,2,9,36700,"(44.91819947, -93.14127988)"
670 PAYNE AVE,11/27/2018 12:00:00 AM,Commercial,1,7,5,33000,"(44.96141837, -93.07579166)"
372 RANDOLPH AVE BLDG,11/21/2006 12:00:00 AM,Commercial,2,2,9,36000,"(44.92614274, -93.11535259)"
2120 ROSE AVE E,10/16/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.97602003, -93.01087782)"
832 ARMSTRONG AVE,07/10/2018 12:00:00 AM,Duplex,1,2,9,36800,"(44.92488982, -93.13514311)"
1600 7TH ST W,06/26/2018 12:00:00 AM,Commercial,2,2,9,36700,"(44.91650854, -93.14238353)"
1021 MINNEHAHA AVE E,03/02/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96314948, -93.05744411)"
661 WESTERN AVE N,09/18/2012 12:00:00 AM,Mixed Use,2,1,7,32600,"(44.96131619, -93.11627103)"
2284 BENSON AVE UNIT G,02/05/2021 12:00:00 AM,Single Family Residential,2,3,15,37602,"(44.90382557, -93.16209249)"
718 6TH ST E,06/24/2020 12:00:00 AM,Single Family Residential,1,7,4,34400,"(44.95785448, -93.07032636)"
61 JESSAMINE AVE W,05/13/2010 12:00:00 AM,Duplex,2,5,6,30500,"(44.97479581, -93.10256264)"
1450 UNIVERSITY AVE W,06/04/2020 12:00:00 AM,Commercial,1,1,13,33400,"(44.95513379, -93.16042356)"
47 DOUGLAS ST,09/16/2009 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93994778, -93.11120531)"
720 EUCLID ST,10/16/2019 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.9540656, -93.06609232)"
2187 SPRINGSIDE DRIVE,03/15/2021 12:00:00 AM,Single Family Residential,1,7,1,37403,"(44.91934308, -93.0081513)"
1639 TAYLOR AVE,03/01/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96780938, -93.16955018)"
2101 KNAPP ST,10/06/2011 12:00:00 AM,Multi-family Residential,2,4,12,30100,"(44.97983527, -93.18917006)"
293 HARRISON AVE,09/12/2019 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93978976, -93.11252533)"
1087 JESSAMINE COURT,07/08/2020 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97398976, -93.12293107)"
1179 7TH ST E,04/25/2016 12:00:00 AM,Commercial,3,6,4,31701,"(44.96678035, -93.05055753)"
523 BEAUMONT ST,09/26/2019 12:00:00 AM,Single Family Residential,1,5,5,33000,"(44.96177791, -93.07830021)"
595 PARK ST,11/21/2008 12:00:00 AM,Duplex,3,1,7,42800,"(44.95940389, -93.10399817)"
2075 SCUDDER ST,08/05/2004 12:00:00 AM,Single Family Residential,3,4,12,30100,"(44.97876189, -93.18784545)"
1576 GRIGGS ST N,07/26/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98882903, -93.14985553)"
1143 MARION ST,09/15/2020 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97552936, -93.10992991)"
949 PAYNE AVE,09/07/2017 12:00:00 AM,Commercial,1,6,5,31500,"(44.96990716, -93.07369804)"
1034 BRADLEY ST,08/15/2019 12:00:00 AM,Single Family Residential,2,5,5,30900,"(44.97243979, -93.07846908)"
433 ROBERT ST S,10/09/2017 12:00:00 AM,Commercial,2,2,3,37100,"(44.93283911, -93.0812451)"
1174 CHARLES AVE,09/12/2019 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.95738979, -93.14982778)"
1794 MINNEHAHA AVE E,06/14/2019 12:00:00 AM,Duplex,2,7,1,34701,"(44.96291445, -93.02457413)"
889 AGATE ST,06/01/2007 12:00:00 AM,Multi-family Residential,2,5,6,31400,"(44.96800252, -93.0943951)"
119 LYTON PLACE,06/11/2018 12:00:00 AM,Mixed Use,2,1,6,31400,"(44.96568478, -93.10503405)"
701 HAZEL ST N,03/09/2020 12:00:00 AM,Single Family Residential,2,7,1,34701,"(44.96253218, -93.02044585)"
1915 IVY AVE E,10/16/2012 12:00:00 AM,Single Family Residential,3,6,2,30702,"(44.98126284, -93.01942865)"
1565 ROSS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96599301, -93.0345736)"
1941 UNIVERSITY AVE W,06/15/2018 12:00:00 AM,Mixed Use,2,4,11,31900,"(44.95813753, -93.18071391)"
450 LEXINGTON PKWY N,08/18/2020 12:00:00 AM,Commercial,2,1,8,33500,"(44.95456227, -93.14630488)"
680 MINNEHAHA AVE E BLDG 3,07/21/2005 12:00:00 AM,Multi-family Residential,2,,,,"(44.96289144, -93.07224302)"
698 DESOTO ST,03/02/2012 12:00:00 AM,Duplex,2,5,5,33000,"(44.96227997, -93.08091425)"
377 MARYLAND AVE W,02/14/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97748001, -93.11595527)"
53 ELIZABETH ST E,09/16/2020 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.92726647, -93.08285929)"
1569 STILLWATER AVE,07/12/2019 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96793435, -93.03420285)"
101 COMO AVE,06/19/2020 12:00:00 AM,Duplex,1,1,7,42800,"(44.95906908, -93.10419176)"
605 STRYKER AVE,04/17/2018 12:00:00 AM,Commercial,2,2,3,37100,"(44.92770752, -93.08845653)"
1151 GERANIUM AVE E,02/12/2021 12:00:00 AM,Single Family Residential,1,6,5,31100,"(44.97587593, -93.05185016)"
1043 WILSON AVE,03/12/2021 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95416919, -93.05643278)"
1466 OSCEOLA AVE,08/06/2019 12:00:00 AM,Single Family Residential,2,3,14,35200,"(44.93590114, -93.16224238)"
1011 BURNS AVE,09/07/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.94886992, -93.05771666)"
118 MANITOBA AVE,08/12/2014 12:00:00 AM,Duplex,2,1,6,31400,"(44.96820955, -93.10497778)"
1323 PAYNE AVE,06/17/2020 12:00:00 AM,Commercial,1,6,5,30602,"(44.98129138, -93.07380286)"
50 FILLMORE AVE E,02/26/2008 12:00:00 AM,Commercial,2,2,3,37100,"(44.94021408, -93.08719023)"
702 WILSON AVE,01/15/2020 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95286545, -93.06631087)"
1508 COMO AVE,07/29/2003 12:00:00 AM,Duplex,2,4,10,30201,"(44.97712697, -93.16385771)"
535 FOREST ST,04/26/2019 12:00:00 AM,Single Family Residential,3,7,4,34500,"(44.95741044, -93.06116126)"
1739 YORK AVE,10/18/2019 12:00:00 AM,Single Family Residential,2,6,2,31801,"(44.96889274, -93.02684769)"
686 EDMUND AVE,10/05/2020 12:00:00 AM,Single Family Residential,2,1,7,32500,"(44.95831409, -93.12925385)"
1825 MECHANIC AVE,11/06/2017 12:00:00 AM,Duplex,2,6,2,31801,"(44.97312441, -93.02344732)"
663 3RD ST E,04/26/2011 12:00:00 AM,Multi-family Residential,2,7,4,34400,"(44.95479641, -93.07125461)"
965 MISSISSIPPI RIVER BLVD S,08/01/2018 12:00:00 AM,Mixed Use,1,3,15,37601,"(44.91278959, -93.19796605)"
842 RICE ST,11/24/2010 12:00:00 AM,Commercial,2,1,6,31400,"(44.96672432, -93.10576695)"
596 CHARLES AVE,05/29/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.95740381, -93.12537584)"
829 LAWSON AVE E,08/31/2020 12:00:00 AM,Single Family Residential,1,6,5,31600,"(44.97223356, -93.06547448)"
975 REANEY AVE,02/11/2016 12:00:00 AM,Multi-family Residential,2,7,4,31701,"(44.9640966, -93.05940097)"
1120 PAYNE AVE,10/02/2020 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97502819, -93.07334839)"
1509 MARSHALL AVE,10/20/2014 12:00:00 AM,Commercial,2,1,13,33400,"(44.94860796, -93.16387079)"
837 4TH ST E,05/06/2015 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95851989, -93.06530366)"
395 MICHIGAN ST,05/15/1996 12:00:00 AM,Single Family Residential,3,2,9,36900,"(44.93525986, -93.11670931)"
1022 BURGESS ST,12/03/2019 12:00:00 AM,Single Family Residential,2,1,10,31200,"(44.96824697, -93.14325947)"
1514 VAN BUREN AVE,04/18/2017 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96181861, -93.16455488)"
854 EDMUND AVE,12/29/2016 12:00:00 AM,Duplex,3,1,7,32500,"(44.95826839, -93.13620405)"
802 MOUND ST,04/20/2020 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95134905, -93.06313382)"
705 COMO AVE,03/05/2021 12:00:00 AM,Single Family Residential,1,5,10,31200,"(44.97207576, -93.1292815)"
466 LAUREL AVE,05/03/2000 12:00:00 AM,Single Family Residential,3,1,8,35500,"(44.94523453, -93.11986934)"
1628 VAN BUREN AVE,07/30/2019 12:00:00 AM,Single Family Residential,2,4,11,32100,"(44.96177396, -93.16907853)"
55 MANITOBA AVE,06/01/2007 12:00:00 AM,Duplex,2,1,6,31400,"(44.96846247, -93.10215936)"
825 UNIVERSITY AVE W,04/20/2009 12:00:00 AM,Commercial,2,1,7,32500,"(44.95591044, -93.13510463)"
1628 DARLENE ST,11/05/2013 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.99046729, -93.01862924)"
1281 SHERBURNE AVE,08/08/2012 12:00:00 AM,Duplex,2,4,11,32300,"(44.95678919, -93.15445037)"
779 RAYMOND AVE,03/31/2021 12:00:00 AM,Commercial,1,4,12,31900,"(44.96488906, -93.19773066)"
1262 MINNEHAHA AVE E,03/25/2021 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96294437, -93.04728784)"
2022 STILLWATER AVE,10/27/2008 12:00:00 AM,Single Family Residential,3,7,2,31802,"(44.96892399, -93.01498479)"
821 AGATE ST,06/29/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.96610849, -93.09440382)"
507 ASHLAND AVE,08/09/2019 12:00:00 AM,Single Family Residential,1,1,8,35500,"(44.94462733, -93.12171946)"
62 HATCH AVE,02/05/2021 12:00:00 AM,Single Family Residential,1,5,6,31400,"(44.97095998, -93.10266487)"
884 WESTMINSTER ST,12/12/2018 12:00:00 AM,Single Family Residential,2,5,5,33000,"(44.96783397, -93.08529411)"
736 PLUM ST,08/02/2019 12:00:00 AM,Single Family Residential,2,7,4,34400,"(44.95296365, -93.06378514)"
134 CASE AVE,07/26/2019 12:00:00 AM,Single Family Residential,3,5,6,31400,"(44.96998887, -93.09498418)"
0 KELLOGG BLVD E,01/11/2013 12:00:00 AM,Commercial,2,2,4,34400,"(44.95121096, -93.07641955)"
363 WOODLAWN AVE,04/23/2018 12:00:00 AM,Single Family Residential,2,3,14,43000,"(44.9305073, -93.1961617)"
1971 NORTONIA AVE,11/22/2019 12:00:00 AM,Duplex,2,7,2,31802,"(44.96509452, -93.01762998)"
1297 7TH ST W,01/29/2020 12:00:00 AM,Single Family Residential,2,2,9,36800,"(44.92202762, -93.13544149)"
1611 FREMONT AVE,03/29/2021 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.95784237, -93.03233387)"
1549 HAZEL ST N,12/03/2019 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.98799781, -93.02034868)"
1880 AMES AVE,11/16/2012 12:00:00 AM,Duplex,2,6,2,31801,"(44.97193246, -93.02101623)"
242 CONGRESS ST E,01/04/2017 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.93129397, -93.07362194)"
1238 MARION ST,11/16/2020 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97845246, -93.10950642)"
41 MILLER CREST LANE,09/24/2010 12:00:00 AM,Single Family Residential,2,7,1,37402,"(44.94344176, -93.03037778)"
2134 LACROSSE AVE,07/21/2020 12:00:00 AM,Single Family Residential,2,6,2,31802,"(44.9711033, -93.01053983)"
398 TOTEM ROAD,11/25/2019 12:00:00 AM,Multi-family Residential,1,7,1,37403,"(44.92529269, -93.01229142)"
1560 CANFIELD AVE,02/09/2017 12:00:00 AM,Single Family Residential,2,4,10,30201,"(44.97990281, -93.16609224)"
914 COOK AVE E,08/11/2020 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.97287964, -93.06196799)"
368 SHERBURNE AVE,09/06/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95653674, -93.115661)"
1273 SARGENT AVE,10/10/2019 12:00:00 AM,Single Family Residential,1,3,14,35300,"(44.93512583, -93.15388652)"
689 PARKVIEW AVE,07/01/2019 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98385176, -93.12921824)"
735 MARGARET ST,04/23/2010 12:00:00 AM,Multi-family Residential,3,7,4,33100,"(44.96132763, -93.06974182)"
1440 ROBLYN AVE,08/06/2010 12:00:00 AM,Commercial,3,1,13,33400,"(44.95077115, -93.16116781)"
1618 HAMLINE AVE N,07/11/2018 12:00:00 AM,Single Family Residential,2,5,10,30201,"(44.98989095, -93.15634632)"
38 WINNIPEG AVE,06/26/2018 12:00:00 AM,Single Family Residential,2,1,6,31400,"(44.96726144, -93.10176675)"
869 5TH ST E,06/02/2016 12:00:00 AM,Commercial,1,7,4,33100,"(44.95954289, -93.06397101)"
963 JESSAMINE AVE E,02/05/2021 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.97493932, -93.05976104)"
132 WESTERN AVE S,10/08/2018 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93754175, -93.11584609)"
1957 BERKELEY AVE,03/01/2021 12:00:00 AM,Single Family Residential,1,3,14,36300,"(44.93356338, -93.18311198)"
786 TATUM ST,03/26/2021 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96487218, -93.17958853)"
1596 HOYT AVE E,04/21/2016 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.98819495, -93.03306174)"
942 GALTIER ST,03/05/2020 12:00:00 AM,Single Family Residential,2,1,6,31300,"(44.96960921, -93.11089099)"
1525 DIETER ST,05/19/2020 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.98736762, -93.03691483)"
346 SHERBURNE AVE,04/25/2016 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.95655446, -93.11462031)"
700 MINNEHAHA AVE E,05/21/2020 12:00:00 AM,Commercial,2,,,,"(44.96292611, -93.07087916)"
1626 ENGLEWOOD AVE,08/16/2007 12:00:00 AM,Multi-family Residential,2,4,11,32100,"(44.96387699, -93.1690929)"
1011 MARGARET ST,01/08/2020 12:00:00 AM,Duplex,1,7,4,31701,"(44.9615207, -93.05789316)"
454 SMITH AVE N,02/22/2021 12:00:00 AM,Single Family Residential,2,2,9,36000,"(44.93806906, -93.10911784)"
939 CHARLES AVE,03/04/2011 12:00:00 AM,Duplex,2,1,7,32500,"(44.95768135, -93.13986424)"
495 KENNY ROAD,07/10/2019 12:00:00 AM,Commercial,2,5,5,33000,"(44.95748514, -93.07930334)"
632 LEXINGTON PKWY N,04/14/2016 12:00:00 AM,Duplex,2,1,7,32400,"(44.96040153, -93.14626654)"
781 COOK AVE E,11/23/2020 12:00:00 AM,Single Family Residential,2,6,5,31000,"(44.97309084, -93.06740779)"
936 WESTMINSTER ST,03/26/2021 12:00:00 AM,Multi-family Residential,1,5,5,33000,"(44.96941682, -93.08524472)"
830 IGLEHART AVE,03/22/2011 12:00:00 AM,Duplex,2,1,8,33800,"(44.94931386, -93.13538365)"
700 6TH ST E,03/11/2021 12:00:00 AM,Single Family Residential,1,7,4,34400,"(44.95736787, -93.0714211)"
733 FAIRVIEW AVE N,09/04/2014 12:00:00 AM,Single Family Residential,2,4,11,32000,"(44.96326982, -93.1774066)"
288 AVON ST N,05/13/2020 12:00:00 AM,Single Family Residential,2,1,8,33900,"(44.94998782, -93.13306675)"
1400 UNIVERSITY AVE W,04/16/2019 12:00:00 AM,Commercial,1,1,13,33400,"(44.95360857, -93.15915219)"
860 FREMONT AVE,02/11/2021 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.9574484, -93.06424765)"
554 CHARLES AVE,02/15/2018 12:00:00 AM,Duplex,2,1,7,32600,"(44.95743833, -93.12344986)"
1976 FAIRMOUNT AVE,11/06/2014 12:00:00 AM,Single Family Residential,3,4,14,34900,"(44.93684723, -93.18386002)"
699 SNELLING AVE N,07/02/2019 12:00:00 AM,Commercial,2,4,11,32100,"(44.96222907, -93.16748896)"
245 MARYLAND AVE E,01/02/2020 12:00:00 AM,Commercial,1,5,6,30500,"(44.97949948, -93.09150903)"
1400 DAYTON AVE,05/22/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94735219, -93.15948332)"
560 MENDOTA ST,11/06/2019 12:00:00 AM,Single Family Residential,1,7,4,34500,"(44.95814154, -93.06331827)"
1006 3RD ST E,10/31/2019 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95662718, -93.05797522)"
1436 MISSISSIPPI RIVER BLVD S,08/03/2020 12:00:00 AM,Single Family Residential,2,3,15,37601,"(44.90612804, -93.18869265)"
1399 THOMAS AVE,10/20/2020 12:00:00 AM,Single Family Residential,1,4,11,32200,"(44.95944473, -93.15916784)"
341 LAWSON AVE E,10/20/2020 12:00:00 AM,Single Family Residential,1,5,5,30900,"(44.97203531, -93.08593464)"
556 RICE ST,06/23/2010 12:00:00 AM,Commercial,2,1,7,42800,"(44.95815973, -93.10577844)"
1105 WILSON AVE,12/12/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.95416947, -93.05382076)"
707 PREBLE ST,11/22/2019 12:00:00 AM,Duplex,2,6,5,33000,"(44.9625075, -93.07527055)"
439 HERSCHEL ST,08/10/2016 12:00:00 AM,Single Family Residential,2,4,13,33200,"(44.95451765, -93.1735684)"
284 ALBERT ST S,04/12/2018 12:00:00 AM,Single Family Residential,2,3,14,36500,"(44.93297313, -93.15924514)"
971 ARCADE ST,11/29/2016 12:00:00 AM,Commercial,1,6,5,31000,"(44.97070206, -93.06624148)"
345 GOODRICH AVE,05/18/2016 12:00:00 AM,Single Family Residential,2,2,9,35900,"(44.93798379, -93.11466232)"
2103 MINNEHAHA AVE E,01/13/2021 12:00:00 AM,Single Family Residential,1,7,2,31802,"(44.96320613, -93.01168724)"
998 BAYARD AVE,05/03/2019 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.92222525, -93.14239386)"
121 HATCH AVE,12/05/2018 12:00:00 AM,Single Family Residential,2,5,6,31400,"(44.97123537, -93.10504476)"
1878 ORANGE AVE E,07/03/2019 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.97913441, -93.02116079)"
1764 BUSH AVE,10/26/2018 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96478404, -93.0259806)"
2150 JAMES AVE,05/31/2019 12:00:00 AM,Single Family Residential,2,3,14,43000,"(44.92781008, -93.19118848)"
664 PLUM ST,02/16/2018 12:00:00 AM,Duplex,2,7,4,34400,"(44.95103743, -93.06723779)"
1194 6TH ST E,10/21/2020 12:00:00 AM,Duplex,1,7,4,34601,"(44.96023258, -93.05008131)"
244 GRAND AVE,02/03/2021 12:00:00 AM,Commercial,2,2,9,35900,"(44.94120362, -93.11035478)"
1630 UNIVERSITY AVE W,09/11/2017 12:00:00 AM,Commercial,1,4,13,33400,"(44.95536474, -93.1690273)"
536 IOWA AVE E,06/24/2008 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.98900799, -93.0781795)"
1058 JESSIE ST,12/02/2020 12:00:00 AM,Duplex,1,5,5,30900,"(44.97318174, -93.07718359)"
327 WINIFRED ST E,10/28/2019 12:00:00 AM,Single Family Residential,2,2,3,36100,"(44.9297476, -93.07037765)"
1409 7TH ST W,03/23/2021 12:00:00 AM,Single Family Residential,2,2,9,36700,"(44.92004423, -93.13836384)"
213 BATES AVE,12/12/2018 12:00:00 AM,Commercial,2,7,4,34400,"(44.95280047, -93.06581868)"
218 PASCAL ST N,04/10/2019 12:00:00 AM,Commercial,2,1,13,33400,"(44.94787396, -93.16173635)"
1106 PAYNE AVE,02/28/2018 12:00:00 AM,Commercial,2,6,5,31000,"(44.97452392, -93.07340904)"
