ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
597 HALL AVE,11/19/2020 12:00:00 AM,Single Family Residential,1,2,3,37200,"(44.92780915, -93.08678839)"
257 LAFOND AVE,07/18/2019 12:00:00 AM,Single Family Residential,2,1,7,32700,"(44.96051938, -93.11100726)"
1426 DESOTO ST,11/15/2019 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.98409977, -93.08092639)"
574 SHERBURNE AVE,03/18/2013 12:00:00 AM,Duplex,2,1,7,32600,"(44.95651908, -93.1244242)"
991 FARRINGTON ST,01/24/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.97125515, -93.11379585)"
141 WINIFRED ST W,06/18/2020 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.9315139, -93.09162716)"
2123 OLD HUDSON ROAD,03/31/2021 12:00:00 AM,Commercial,1,7,1,34702,"(44.95238322, -93.01067864)"
364 MAPLE ST,12/24/2008 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95829623, -93.06855973)"
850 WHITE BEAR AVE N,11/16/2018 12:00:00 AM,Commercial,1,7,2,31801,"(44.9669879, -93.02513395)"
970 REANEY AVE,02/10/2017 12:00:00 AM,Single Family Residential,2,7,4,31701,"(44.96370318, -93.05959529)"
947 FREMONT AVE,01/18/2018 12:00:00 AM,Single Family Residential,2,7,4,34500,"(44.95776234, -93.06039703)"
1904 PRINCETON AVE,07/12/2007 12:00:00 AM,Single Family Residential,3,3,14,35100,"(44.93594882, -93.18080701)"
2173 MARGARET ST,06/11/2019 12:00:00 AM,Single Family Residential,2,7,1,34702,"(44.96142747, -93.00898512)"
1457 3RD ST E,10/01/2014 12:00:00 AM,Single Family Residential,2,7,1,34602,"(44.95697096, -93.03883609)"
2117 MOHAWK AVE,05/27/2010 12:00:00 AM,Single Family Residential,1,7,2,31802,"(44.96819911, -93.01330305)"
1793 MARYLAND AVE E,11/30/2018 12:00:00 AM,Single Family Residential,2,6,2,30702,"(44.97764702, -93.0246582)"
1501 CLARENCE ST,05/04/2020 12:00:00 AM,Single Family Residential,2,6,2,30703,"(44.98673412, -93.04330766)"
39 HILLTOP LANE,10/15/2013 12:00:00 AM,Single Family Residential,2,3,15,37500,"(44.90783307, -93.17556701)"
974 ARCADE ST,05/27/2016 12:00:00 AM,Commercial,2,6,5,31600,"(44.97066686, -93.06561004)"
375 HAWTHORNE AVE E,02/01/2021 12:00:00 AM,Single Family Residential,1,5,5,30601,"(44.97837873, -93.08460457)"
1544 UNIVERSITY AVE W,06/01/2020 12:00:00 AM,Commercial,3,1,13,33400,"(44.95538002, -93.16412398)"
686 MINNEHAHA AVE W,03/16/2021 12:00:00 AM,Single Family Residential,1,1,7,32400,"(44.96284121, -93.12927371)"
197 LEXINGTON PKWY S,07/27/2020 12:00:00 AM,Single Family Residential,1,2,16,35300,"(44.93551107, -93.14680181)"
572 EARL ST,08/20/2018 12:00:00 AM,Commercial,2,7,4,34601,"(44.95885502, -93.05563021)"
678 SNELLING AVE N,10/05/2016 12:00:00 AM,Commercial,3,4,11,32100,"(44.96153928, -93.1668219)"
27 EMPIRE DRIVE,02/04/2013 12:00:00 AM,Commercial,3,1,7,42800,"(44.96290113, -93.10051383)"
701 SURREY AVE,10/03/2013 12:00:00 AM,Duplex,2,7,4,34400,"(44.9544002, -93.06797762)"
1094 KENT ST,02/17/2021 12:00:00 AM,Single Family Residential,1,5,6,30800,"(44.97408795, -93.12363364)"
112 GERANIUM AVE E,11/18/2020 12:00:00 AM,Single Family Residential,2,5,6,30500,"(44.97547205, -93.0958083)"
1043 BEECH ST,01/27/2021 12:00:00 AM,Single Family Residential,1,7,4,31701,"(44.96229437, -93.05653434)"
656 BUSH AVE,03/01/2010 12:00:00 AM,Multi-family Residential,2,6,5,31500,"(44.96464486, -93.07282965)"
