WAS21-0629,30528 SPICA CT TR 20079-2:32,945212020,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0630,30673 SKY TERRACE DR TR 20079:3,945220006,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0631,30679 SKY TERRACE DR TR 20079:4,945220007,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0632,30687 SKY TERRACE DR TR 20079:5,945220008,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0633,30695 SKY TERRACE DR TR 20079:6,945220009,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0634,30634 MOONTIDE CT TR 20079-2:21,945220029,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0635,30566 SPICA CT TR 20079-2:33,945220035,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0636,30567 SPICA CT TR 20079-2:34,945220036,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0637,30538 COLINA VERDE TR 18583:16,945271001,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0638,30546 COLINA VERDE TR 18583:17,945271002,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0639,30554 COLINA VERDE TR 18583:18,945271003,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0640,30594 COLINA VERDE TR 18583:23,945271008,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0641,43049 VISTA DEL RANCHO TR 18583:37,945271022,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0642,30410 COLINA VERDE TR 18583:1,945271025,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0643,30418 COLINA VERDE TR 18583:2,945271026,CE - Weed Abatement w/Structures,Investigating,3/11/2021,weeds
WAS21-0681,30426 COLINA VERDE TR 18583:3,945271027,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0682,30434 COLINA VERDE TR 18583:4,945271028,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0683,30442 COLINA VERDE TR 18583:5,945271029,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds #579191
WAS21-0684,30450 COLINA VERDE TR 18583:6,945271030,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0685,30458 COLINA VERDE TR 18583:7,945271031,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0686,30466 COLINA VERDE TR 18583:8,945271032,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0687,30474 COLINA VERDE TR 18583:9,945271033,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0688,43144 VISTA DEL RANCHO TR 18583:43,945272006,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds #579210
WAS21-0689,32041 MERLOT CT TR 20879:38,953082018,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0690,32055 MERLOT CT TR 20879:39,953082019,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0691,31670 RANCHO CALIFORNIA RD PM 22554:1,953090028,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0692,30859 CALLE PINA COLADA TR 20881:1,953121001,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0693,41363 RUE JADOT TR 20879:39,953142008,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0694,41520 MARGARITA RD :,954020005,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0695,42200 MARGARITA RD PM 21884 AMENDED:10,954020006,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0696,30777 RANCHO CALIFORNIA RD PM 21884 AMENDED:10,954020007,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0698,31950 PAUBA RD :,955020019,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0699,31820 VIA LEVANTAR RD PM 13781:2,955040014,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0700,41815 GREEN TREE RD PM 8893:4,955040021,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0701,41805 GREEN TREE RD PM 14346:4A,955040022,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0702,30909 ANDREWS WAY TR 25004-1:13,957071013,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0703,39520 LIEFER RD PM 19826:1,957090001,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0704,39450 LIEFER RD PM 19826:2,957090002,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0705,39390 LIEFER RD :39,957090005,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0706,39622 LIEFER RD PM 18022:4,957090023,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0707,39525 LIEFER RD :30,957140001,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0708,39600 GATLIN ST PM 7822:1,957140002,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0709,39611 LIEFER RD PM 7822:2,957140003,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0710,39633 LIEFER RD PM 6276:2,957140004,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
WAS21-0711,31050 NICOLAS RD PM 6276:3,957140005,CE - Weed Abatement w/Structures,Investigating,3/16/2021,Weeds 
