1/20/2021,CIT21-000143,"1609 CARROLLTON AVE, INDIANAPOLIS IN 46202",1609 CARROLLTON AVE,", INDIANAPOLIS IN 46202",Enforcement/Citation/Vehicle/250,Overdue
1/20/2021,CIT21-000144,"247 S MERIDIAN ST, INDIANAPOLIS IN 46225",247 S MERIDIAN ST,", INDIANAPOLIS IN 46225",Enforcement/Citation/Zoning/50,Overdue
1/20/2021,CIT21-000145,"247 S MERIDIAN ST, INDIANAPOLIS IN 46225",247 S MERIDIAN ST,", INDIANAPOLIS IN 46225",Enforcement/Citation/Zoning/50,Overdue
1/20/2021,CIT21-000146,"1847 WEST VIEW DR, INDIANAPOLIS IN 46221",1847 WEST VIEW DR,", INDIANAPOLIS IN 46221",Enforcement/Citation/Vehicle/250,Overdue
1/20/2021,CIT21-000147,"2618 W 16TH ST, INDIANAPOLIS IN 46222",2618 W 16TH ST,", INDIANAPOLIS IN 46222",Enforcement/Citation/Zoning/50,Overdue
1/20/2021,CIT21-000148,"2618 W 16TH ST, INDIANAPOLIS IN 46222",2618 W 16TH ST,", INDIANAPOLIS IN 46222",Enforcement/Citation/Zoning/50,Overdue
1/20/2021,CIT21-000149,"2618 W 16TH ST, INDIANAPOLIS IN 46222",2618 W 16TH ST,", INDIANAPOLIS IN 46222",Enforcement/Citation/Zoning/50,Overdue
1/20/2021,CIT21-000150,"2618 W 16TH ST, INDIANAPOLIS IN 46222",2618 W 16TH ST,", INDIANAPOLIS IN 46222",Enforcement/Citation/Vehicle/50,Overdue
1/20/2021,CIT21-000151,"3616 RALSTON AVE, INDIANAPOLIS IN 46218",3616 RALSTON AVE,", INDIANAPOLIS IN 46218",Enforcement/Citation/Vehicle/50,Overdue
1/20/2021,CIT21-000152,"3654 RALSTON AVE, INDIANAPOLIS IN 46218",3654 RALSTON AVE,", INDIANAPOLIS IN 46218",Enforcement/Citation/Vehicle/50,Overdue
1/20/2021,DEM21-00009,"3710 E WASHINGTON ST, INDIANAPOLIS IN 46201",3710 E WASHINGTON ST,", INDIANAPOLIS IN 46201",Enforcement - Demolition,Hearing Pending
1/20/2021,INV21-01061,"813 N DENNY ST, INDIANAPOLIS IN 46201",813 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, Notice"
1/20/2021,INV21-01062,"814 N CHESTER AVE, INDIANAPOLIS IN 46201",814 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01063,"719 N DENNY ST, INDIANAPOLIS IN 46201",719 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, Notice"
1/20/2021,INV21-01064,"701 N DENNY ST, INDIANAPOLIS IN 46201",701 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01065,"614 N CHESTER AVE, INDIANAPOLIS IN 46201",614 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01066,"610 N CHESTER AVE, INDIANAPOLIS IN 46201",610 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01067,"606 N CHESTER AVE, INDIANAPOLIS IN 46201",606 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01068,"527 N DENNY ST, INDIANAPOLIS IN 46201",527 N DENNY ST,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01069,"512 N CHESTER AVE, INDIANAPOLIS IN 46201",512 N CHESTER AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01070,"504 N GLADSTONE AVE, INDIANAPOLIS IN 46201",504 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01071,"4110 E MICHIGAN ST, INDIANAPOLIS IN 46201",4110 E MICHIGAN ST,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
