311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
407786,7/22/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
409124,7/25/2020,Closed,Code Enforcement,Graffiti/Defacement,,
409125,7/25/2020,Completed,Code Enforcement,Graffiti/Defacement,,Panther Creek Greenway
409129,7/25/2020,Closed,Code Enforcement,Graffiti/Defacement,,Panther Creek Greenway
409182,7/25/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
409306,7/26/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,Pirates Cove Greenway
410655,7/28/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,White Oak Greenway
410917,7/29/2020,Closed,Public Works,Code Enforcement Inquiry,,
412629,8/2/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,
412640,8/2/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
413306,8/3/2020,Duplicate,Code Enforcement,Graffiti/Defacement,,
414364,8/5/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,Facility: Koka Booth Amphitheatre
414456,8/5/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
415259,8/7/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
415330,8/7/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
416035,8/10/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,W CHATHAM ST ? ROW
416401,8/10/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
416883,8/11/2020,Closed,Public Works,Code Enforcement Inquiry,,
417584,8/13/2020,Duplicate,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
417865,8/13/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,E DURHAM RD ? ROW
418034,8/13/2020,Work Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
418041,8/13/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
418392,8/14/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
418661,8/15/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,,
419990,8/18/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,,
420034,8/18/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
420292,8/19/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
420391,8/19/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
420409,8/19/2020,Closed,Public Works,Code Enforcement Inquiry,,
420780,8/20/2020,Closed,Public Works,Code Enforcement Inquiry,,
421085,8/20/2020,Closed on Call,Code Enforcement,Dumping ? Code Enforcement,,
421443,8/21/2020,Closed,Code Enforcement,Material Not Prepared ? Code Enforcement,,
422320,8/22/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
422912,8/24/2020,Closed,Public Works,Code Enforcement Inquiry,,
423274,8/24/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
423764,8/25/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
423874,8/25/2020,Closed,Public Works,Code Enforcement Inquiry,,
424065,8/26/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,
424183,8/26/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
424755,8/27/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,KILDAIRE FARM RD ? ROW
424981,8/27/2020,Closed,Public Works,Code Enforcement Inquiry,,
425051,8/27/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
425649,8/31/2020,Closed on Call,Public Works,Code Enforcement Inquiry,,
426239,9/1/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
427284,9/2/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
427629,9/3/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
428295,9/4/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
428868,9/6/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,Speight Branch Greenway
428994,9/7/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,SW CARY PKWY ? ROW
429012,9/7/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
429013,9/7/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
429036,9/7/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,Speight Branch Greenway
429713,9/8/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
429737,9/8/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
430220,9/9/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
430550,9/10/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,Traffic Signal: 05?1940 ? Buck Jones Rd ? Nottingham Dr
430645,9/10/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
431318,9/11/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,HIGH HOUSE RD ? ROW
432135,9/14/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,,Park Site: Old Reedy Creek Rd Trailhead Park
432235,9/14/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
433360,9/16/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,W CHATHAM ST ? ROW
433819,9/16/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
434671,9/18/2020,Closed,Public Works,Code Enforcement Inquiry,,
434934,9/18/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
435078,9/19/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
436136,9/22/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,
437527,9/23/2020,Work Completed,Code Enforcement,Graffiti/Defacement,,Panther Creek Greenway
437806,9/23/2020,Closed,Public Works,Code Enforcement Inquiry,,
438991,9/26/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
439287,9/28/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
440269,9/29/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,OKELLY CHAPEL RD ? ROW
440514,9/30/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
440692,9/30/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,GREEN LEVEL CHURCH RD ? ROW
440987,9/30/2020,Duplicate,Code Enforcement,Graffiti/Defacement,,
442635,10/4/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
443301,10/5/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
443641,10/6/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
445409,10/9/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
445701,10/10/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
446012,10/12/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,,Segment: BAY DR (100 ? 225)
447507,10/14/2020,Closed on Call,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
449053,10/19/2020,Closed,Code Enforcement,Graffiti/Defacement,,
450150,10/21/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
450593,10/21/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,KILDAIRE FARM RD ? ROW
450924,10/22/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,W CHATHAM ST ? ROW
451003,10/22/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,Batchelors Branch Greenway
451785,10/23/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
452617,10/25/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
452865,10/26/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,KILDAIRE FARM RD ? ROW
453835,10/27/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,EVANS RD ? ROW
454171,10/28/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
454259,10/28/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
454331,10/28/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
454744,10/29/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
454788,10/29/2020,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,,
455687,11/1/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
455814,11/1/2020,Work Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
455821,11/1/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
455827,11/1/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
457125,11/3/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
457983,11/4/2020,Duplicate,Code Enforcement,Sight Obstruction ? Code Enforcement,,
460168,11/6/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,SW CARY PKWY ? ROW
462022,11/10/2020,Closed,Public Works,Code Enforcement Inquiry,,
463312,11/13/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
463594,11/14/2020,Closed,Public Works,Code Enforcement Inquiry,,
464368,11/16/2020,Closed on Call,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
464417,11/16/2020,Duplicate,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
465230,11/17/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,
466885,11/20/2020,Closed,Public Works,Code Enforcement Inquiry,,
467130,11/21/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
467137,11/21/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,,
467569,11/23/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
470959,12/1/2020,Duplicate,Code Enforcement,Sight Obstruction ? Code Enforcement,,
473157,12/4/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
473159,12/4/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
480197,12/21/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
481080,12/23/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,,
482318,12/28/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
482940,12/29/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
485656,1/5/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
486833,1/7/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,,
486880,1/8/2021,Closed on Call,Public Works,Code Enforcement Inquiry,,
487562,1/11/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,Speight Branch Greenway
487873,1/11/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,WEST LAKE RD ? ROW
488861,1/13/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
489709,1/15/2021,Closed,Public Works,Code Enforcement Inquiry,,
490198,1/18/2021,Closed,Code Enforcement,Tall Grass ? Code Enforcement,,
491787,1/21/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
491905,1/21/2021,Closed,Public Works,Code Enforcement Inquiry,,
492707,1/23/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
492837,1/24/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
492979,1/25/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
494587,1/28/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
495355,1/29/2021,Duplicate,Code Enforcement,Graffiti/Defacement,,
495388,1/29/2021,Work Completed,Code Enforcement,Graffiti/Defacement,,SW CARY PKWY ? ROW
498033,2/4/2021,Closed,Public Works,Code Enforcement Inquiry,,
500235,2/11/2021,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,,
500659,2/12/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,Park Site: White Oak Park
502919,2/17/2021,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,,
505223,2/23/2021,Work Completed,Code Enforcement,Street Cleaning ? Code Enforcement,,
507270,2/26/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,OLD APEX RD ? ROW
507523,2/28/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
508677,3/2/2021,Completed,Code Enforcement,Dumping ? Code Enforcement,,
509644,3/4/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
512014,3/9/2021,Closed,Code Enforcement,Graffiti/Defacement,,
512036,3/9/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,Black Creek Greenway
512311,3/9/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
513311,3/11/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
513428,3/11/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,,
513694,3/12/2021,Duplicate,Public Works,Code Enforcement Inquiry,,
514684,3/15/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,
516933,3/18/2021,Closed on Call,Code Enforcement,Dumping ? Code Enforcement,,
519441,3/23/2021,Closed,Public Works,Code Enforcement Inquiry,,
519683,3/24/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,NW CARY PKWY ? ROW
520434,3/25/2021,Closed,Public Works,Code Enforcement Inquiry,,
521293,3/26/2021,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,,Hinshaw Greenway
522022,3/29/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,SW MAYNARD RD ? ROW
523461,3/30/2021,Closed,Code Enforcement,Graffiti/Defacement,,GREEN LEVEL CHURCH RD ? ROW
524935,4/2/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,,
526250,4/5/2021,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,NW MAYNARD RD ? ROW
527053,4/6/2021,In Progress,Code Enforcement,Tall Grass ? Code Enforcement,,CHAPEL HILL RD ? ROW
527217,4/7/2021,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,,Black Creek Greenway
529824,4/12/2021,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,,NW CARY PKWY ? ROW
529831,4/12/2021,In Progress,Code Enforcement,Hazard Tree ? Code Enforcement,,NW CARY PKWY ? ROW
