311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
399900,7/6/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,"7012 ROBBIE DR, RALEIGH 276074737",
399902,7/6/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,"7012 ROBBIE DR, RALEIGH 276074737",
359107,3/31/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"708 GRIFFIS ST, CARY 275113708",
360619,4/3/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"708 GRIFFIS ST, CARY 275113708",
361077,4/6/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"708 GRIFFIS ST, CARY 275113708",
480728,12/22/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"709 CHELSEA GROVE DR, CARY 27519",
513196,3/11/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"710 SE MAYNARD RD, CARY 275115720",Facility: Maynard Tank
380769,5/21/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"711 MIDDLETON AVE, CARY 275134423",
365595,4/18/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"714 BROOKGREEN DR, CARY 275114304",
351585,3/12/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"715 BRADHURST PL, CARY 275199386",
450941,10/22/2020,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"717 DAVENBURY WAY, CARY 27513",
424897,8/27/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"719 MADISON AVE, CARY 275134336",
432892,9/15/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"728 FINNBAR DR, CARY 275197090",
373992,5/6/2020,Work Completed,Code Enforcement,Graffiti/Defacement,"740 SE MAYNARD RD, CARY 275115720",
350397,3/10/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"750 SE CARY PKWY, CARY 275115682",
423249,8/24/2020,Closed,Public Works,Code Enforcement Inquiry,"7515 CARPENTER FIRE STATION RD, CARY 275198617",
418838,8/17/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"800 HIGH HOUSE RD, CARY 275133507",
